Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	1	0
Feb 16, 2020	0	0	0	0
Feb 17, 2020	0	0	0	0
Feb 18, 2020	0	0	0	0
Feb 19, 2020	0	0	0	0
Feb 20, 2020	0	0	2	0
Feb 21, 2020	0	0	0	0
Feb 22, 2020	0	0	0	0
Feb 23, 2020	0	0	0	0
Feb 24, 2020	0	0	7	0
Feb 25, 2020	0	0	0	0
Feb 26, 2020	0	0	0	0
Feb 27, 2020	0	0	0	0
Feb 28, 2020	0	0	0	0
Feb 29, 2020	0	0	0	0
Mar 01, 2020	0	0	0	0
Mar 02, 2020	0	0	2	0
Mar 03, 2020	0	0	0	0
Mar 04, 2020	0	0	0	0
Mar 05, 2020	0	0	5	0
Mar 06, 2020	0	0	0	0
Mar 07, 2020	0	0	0	0
Mar 08, 2020	0	0	2	0
Mar 09, 2020	0	0	0	0
Mar 10, 2020	0	0	0	0
Mar 11, 2020	0	0	0	0
Mar 12, 2020	0	0	0	0
Mar 13, 2020	0	0	0	0
Mar 14, 2020	0	0	1	0
Mar 15, 2020	0	0	0	0
Mar 16, 2020	0	0	0	0
Mar 17, 2020	0	0	0	0
Mar 18, 2020	0	0	0	0
Mar 19, 2020	0	0	0	6
Mar 20, 2020	0	0	0	2
Mar 21, 2020	0	0	0	0
Mar 22, 2020	0	0	0	3
Mar 23, 2020	0	0	0	6
Mar 24, 2020	0	0	0	5
Mar 25, 2020	0	0	0	0
Mar 26, 2020	0	0	0	21
Mar 27, 2020	0	0	1	18
Mar 28, 2020	0	0	0	14
Mar 29, 2020	0	0	0	81
Mar 30, 2020	3	0	0	0
Mar 31, 2020	3	0	0	78
Apr 01, 2020	3	0	0	101
Apr 02, 2020	3	0	1	92
Apr 03, 2020	3	0	0	101
Apr 04, 2020	3	0	0	90
Apr 05, 2020	5	0	0	110
Apr 06, 2020	5	0	4	170
Apr 07, 2020	5	0	1	217
Apr 08, 2020	5	0	0	159
Apr 09, 2020	12	0	5	297
Apr 10, 2020	12	0	0	293
Apr 11, 2020	12	0	0	195
Apr 12, 2020	12	0	0	308
Apr 13, 2020	12	0	0	279
Apr 14, 2020	12	0	0	291
Apr 15, 2020	12	0	0	362
Apr 16, 2020	14	0	0	322
Apr 17, 2020	14	0	3	414
Apr 18, 2020	14	0	2	303
Apr 19, 2020	19	0	0	338
Apr 20, 2020	19	0	0	293
Apr 21, 2020	19	0	0	417
Apr 22, 2020	21	0	0	418
Apr 23, 2020	21	0	0	523
Apr 24, 2020	21	0	2	419
Apr 25, 2020	21	0	0	278
Apr 26, 2020	21	0	6	303
Apr 27, 2020	21	0	0	383
Apr 28, 2020	22	0	0	347
Apr 29, 2020	17	0	12	523
Apr 30, 2020	17	0	0	438
May 01, 2020	14	0	0	554
May 02, 2020	14	0	0	469
May 03, 2020	14	0	19	374
May 04, 2020	14	0	0	295
May 05, 2020	14	0	10	479
May 06, 2020	14	0	0	475
May 07, 2020	13	0	0	496
May 08, 2020	13	0	0	507
May 09, 2020	10	0	0	445
May 10, 2020	10	0	32	493
May 11, 2020	11	0	0	520
May 12, 2020	6	0	0	740
May 13, 2020	6	0	0	790
May 14, 2020	6	0	54	959
May 15, 2020	6	0	0	1400
May 16, 2020	6	0	52	1199
May 17, 2020	7	0	0	952
May 18, 2020	7	0	0	1342
May 19, 2020	7	0	50	997
May 20, 2020	7	0	0	1488
May 21, 2020	9	0	0	1350
May 22, 2020	10	0	37	1204
May 23, 2020	10	0	0	1602
May 24, 2020	15	0	0	1154
May 25, 2020	15	0	0	1613
May 26, 2020	14	0	0	2625
May 27, 2020	14	0	0	2610
May 28, 2020	14	0	85	2448
May 29, 2020	14	0	0	1833
May 30, 2020	14	0	0	2296
May 31, 2020	14	0	0	2219
Jun 01, 2020	17	0	123	0
Jun 02, 2020	16	0	0	41227
Jun 03, 2020	16	0	0	4575
Jun 04, 2020	16	0	70	4883
Jun 05, 2020	16	0	0	0
Jun 06, 2020	16	0	0	0
Jun 07, 2020	16	0	0	0
Jun 08, 2020	17	0	0	0
Jun 09, 2020	17	0	94	0
Jun 10, 2020	23	0	0	30813
Jun 11, 2020	23	1	0	4914
Jun 12, 2020	23	0	53	5938
Jun 13, 2020	35	0	0	6408
Jun 14, 2020	35	0	65	5088
Jun 15, 2020	35	0	0	7440
Jun 16, 2020	35	0	90	0
Jun 17, 2020	53	0	0	30209
Jun 18, 2020	53	0	0	5050
Jun 19, 2020	63	0	0	5118
Jun 20, 2020	63	0	0	3960
Jun 21, 2020	63	0	0	4828
Jun 22, 2020	63	0	0	5173
Jun 23, 2020	63	0	0	4523
Jun 24, 2020	95	0	0	4234
Jun 25, 2020	95	0	0	4104
Jun 26, 2020	95	0	172	4624
Jun 27, 2020	95	0	0	4155
Jun 28, 2020	149	1	0	3944
Jun 29, 2020	149	0	148	5075
Jun 30, 2020	198	0	0	4214
Jul 01, 2020	198	0	0	3804
Jul 02, 2020	198	0	0	4096
Jul 03, 2020	247	0	94	4102
Jul 04, 2020	247	0	0	3587
Jul 05, 2020	247	0	0	3339
Jul 06, 2020	282	0	0	3874
Jul 07, 2020	282	0	0	3458
Jul 08, 2020	282	0	0	3219
Jul 09, 2020	282	0	0	3131
Jul 10, 2020	282	0	254	3061
Jul 11, 2020	282	3	0	2788
Jul 12, 2020	360	0	71	2654
Jul 13, 2020	360	0	0	2664
Jul 14, 2020	360	0	0	2865
Jul 15, 2020	360	0	0	3216
Jul 16, 2020	473	0	0	1513
Jul 17, 2020	473	0	91	2635
Jul 18, 2020	473	0	0	2345
Jul 19, 2020	543	0	0	2198
Jul 20, 2020	543	2	0	2824
Jul 21, 2020	543	0	278	2425
Jul 22, 2020	543	0	0	2190
Jul 23, 2020	543	1	0	2265
Jul 24, 2020	633	0	124	2473
Jul 25, 2020	633	0	0	1926
Jul 26, 2020	633	1	0	1859
Jul 27, 2020	674	0	126	2378
Jul 28, 2020	674	0	0	2225
Jul 29, 2020	739	0	0	2071
Jul 30, 2020	739	1	0	1699
Jul 31, 2020	829	0	211	2180
Aug 01, 2020	829	0	0	1904
Aug 02, 2020	829	2	0	1565
Aug 03, 2020	829	0	104	2354
Aug 04, 2020	829	0	0	1961
Aug 05, 2020	829	0	0	1877
Aug 06, 2020	829	0	0	2000
Aug 07, 2020	829	0	0	1965
Aug 08, 2020	829	0	0	1693
Aug 09, 2020	829	3	0	1516
Aug 10, 2020	984	0	354	2199
Aug 11, 2020	984	0	0	1878
Aug 12, 2020	984	0	0	1712
Aug 13, 2020	1091	0	0	1906
