Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	0	1	0
Feb 17, 2020	0	0	0	0
Feb 18, 2020	0	0	0	0
Feb 19, 2020	0	0	0	1
Feb 20, 2020	0	0	3	1
Feb 21, 2020	0	0	3	0
Feb 22, 2020	0	1	1	0
Feb 23, 2020	0	0	10	0
Feb 24, 2020	0	1	0	0
Feb 25, 2020	0	0	14	0
Feb 26, 2020	0	1	5	0
Feb 27, 2020	0	2	8	0
Feb 28, 2020	0	0	9	1
Feb 29, 2020	0	0	10	0
Mar 01, 2020	0	0	13	3
Mar 02, 2020	0	0	39	0
Mar 03, 2020	0	2	20	0
Mar 04, 2020	0	1	31	1
Mar 05, 2020	0	2	16	0
Mar 06, 2020	0	1	26	0
Mar 07, 2020	0	3	21	0
Mar 08, 2020	0	0	36	0
Mar 09, 2020	0	1	19	0
Mar 10, 2020	0	2	32	1
Mar 11, 2020	3	3	30	2
Mar 12, 2020	3	0	46	0
Mar 13, 2020	4	3	61	0
Mar 14, 2020	4	3	58	0
Mar 15, 2020	4	4	49	0
Mar 16, 2020	4	1	56	1
Mar 17, 2020	7	2	49	0
Mar 18, 2020	9	2	57	0
Mar 19, 2020	10	2	40	2
Mar 20, 2020	20	2	48	0
Mar 21, 2020	20	3	48	0
Mar 22, 2020	34	6	61	98
Mar 23, 2020	39	2	63	0
Mar 24, 2020	46	3	49	73
Mar 25, 2020	55	2	52	43
Mar 26, 2020	64	2	50	126
Mar 27, 2020	74	0	52	42
Mar 28, 2020	112	3	46	177
Mar 29, 2020	132	3	50	520
Mar 30, 2020	162	2	52	149
Mar 31, 2020	172	1	32	494
Apr 01, 2020	194	2	20	243
Apr 02, 2020	214	0	48	207
Apr 03, 2020	248	0	30	409
Apr 04, 2020	267	4	34	347
Apr 05, 2020	297	1	36	674
Apr 06, 2020	323	0	74	412
Apr 07, 2020	358	3	38	520
Apr 08, 2020	418	0	19	763
Apr 09, 2020	472	1	17	702
Apr 10, 2020	498	1	18	415
Apr 11, 2020	527	0	26	744
Apr 12, 2020	559	0	12	584
Apr 13, 2020	584	0	13	479
Apr 14, 2020	613	0	12	744
Apr 15, 2020	639	0	17	750
Apr 16, 2020	664	0	21	814
Apr 17, 2020	700	0	6	664
Apr 18, 2020	727	1	20	636
Apr 19, 2020	746	1	10	743
Apr 20, 2020	766	0	22	602
Apr 21, 2020	790	1	10	798
Apr 22, 2020	808	0	9	775
Apr 23, 2020	827	0	6	708
Apr 24, 2020	820	0	13	956
Apr 25, 2020	849	0	8	896
Apr 26, 2020	814	0	8	947
Apr 27, 2020	808	1	15	922
Apr 28, 2020	804	0	10	1137
Apr 29, 2020	792	0	6	1096
Apr 30, 2020	759	0	16	1328
May 01, 2020	759	0	11	1050
May 02, 2020	780	0	9	1107
May 03, 2020	755	0	22	1109
May 04, 2020	723	0	20	976
May 05, 2020	662	0	20	1178
May 06, 2020	633	0	38	801
May 07, 2020	625	0	9	1434
May 08, 2020	589	0	15	843
May 09, 2020	540	1	12	847
May 10, 2020	496	0	14	898
May 11, 2020	477	0	40	1048
May 12, 2020	449	0	18	1122
May 13, 2020	405	0	9	927
May 14, 2020	368	0	5	804
May 15, 2020	336	0	6	924
May 16, 2020	323	1	8	731
May 17, 2020	298	0	14	678
May 18, 2020	297	0	5	822
May 19, 2020	270	0	10	726
May 20, 2020	248	0	14	939
May 21, 2020	225	0	11	879
May 22, 2020	204	0	7	711
May 23, 2020	179	0	15	680
May 24, 2020	170	0	10	653
May 25, 2020	161	1	4	701
May 26, 2020	172	0	3	825
May 27, 2020	168	0	3	676
May 28, 2020	167	0	3	678
May 29, 2020	163	0	1	585
May 30, 2020	147	0	2	776
May 31, 2020	153	0	4	847
Jun 01, 2020	174	0	5	631
Jun 02, 2020	182	0	2	691
Jun 03, 2020	194	0	8	691
Jun 04, 2020	197	0	1	829
Jun 05, 2020	202	0	7	1046
Jun 06, 2020	235	0	5	619
Jun 07, 2020	246	0	8	767
Jun 08, 2020	249	1	8	572
Jun 09, 2020	242	0	3	1067
Jun 10, 2020	242	0	8	1019
Jun 11, 2020	242	0	15	865
Jun 12, 2020	247	0	4	831
Jun 13, 2020	231	0	4	918
Jun 14, 2020	216	0	10	770
Jun 15, 2020	213	0	7	401
Jun 16, 2020	195	0	6	574
Jun 17, 2020	197	0	2	479
Jun 18, 2020	190	0	4	507
Jun 19, 2020	183	0	6	485
Jun 20, 2020	153	0	2	398
Jun 21, 2020	124	0	4	448
Jun 22, 2020	117	0	1	370
Jun 23, 2020	110	0	1	387
Jun 24, 2020	104	0	0	334
Jun 25, 2020	65	0	3	301
Jun 26, 2020	60	0	13	247
Jun 27, 2020	57	0	4	218
Jun 28, 2020	45	0	3	987
Jun 29, 2020	43	0	9	416
Jun 30, 2020	41	0	17	150
Jul 01, 2020	44	0	37	603
Jul 02, 2020	46	1	23	346
Jul 03, 2020	51	0	33	297
Jul 04, 2020	56	0	9	249
Jul 05, 2020	57	0	11	331
Jul 06, 2020	60	0	25	313
Jul 07, 2020	69	0	13	364
Jul 08, 2020	71	0	24	327
Jul 09, 2020	73	0	31	327
Jul 10, 2020	78	0	25	365
Jul 11, 2020	79	0	49	201
Jul 12, 2020	81	0	54	374
Jul 13, 2020	73	0	59	329
Jul 14, 2020	70	0	65	315
Jul 15, 2020	74	0	93	351
Jul 16, 2020	68	0	47	23853
Jul 17, 2020	57	0	35	225
Jul 18, 2020	54	0	46	137
Jul 19, 2020	51	1	55	423
Jul 20, 2020	51	0	63	283
Jul 21, 2020	41	2	24	385
Jul 22, 2020	49	0	48	377
Jul 23, 2020	40	0	44	354
Jul 24, 2020	41	1	74	242
Jul 25, 2020	46	0	83	240
Jul 26, 2020	59	0	17	505
Jul 27, 2020	94	2	35	274
Jul 28, 2020	116	0	65	331
Jul 29, 2020	148	0	35	397
Jul 30, 2020	155	1	27	365
Jul 31, 2020	166	3	15	209
Aug 01, 2020	179	2	47	138
Aug 02, 2020	190	0	60	23
Aug 03, 2020	210	0	59	853
Aug 04, 2020	231	1	48	338
Aug 05, 2020	242	1	59	318
Aug 06, 2020	278	2	33	329
Aug 07, 2020	312	0	61	131
Aug 08, 2020	358	2	88	162
Aug 09, 2020	414	0	52	2627
Aug 10, 2020	498	2	32	391
Aug 11, 2020	533	0	11	402
Aug 12, 2020	536	0	43	405
Aug 13, 2020	561	0	25	389
Aug 14, 2020	594	1	82	276
Aug 15, 2020	636	0	92	266
Aug 16, 2020	608	2	42	575
Aug 17, 2020	584	2	60	298
Aug 18, 2020	526	2	31	465
Aug 19, 2020	531	1	42	466
Aug 20, 2020	583	1	77	360
Aug 21, 2020	542	1	73	230
Aug 22, 2020	522	0	57	234
Aug 23, 2020	547	0	71	582
Aug 24, 2020	547	2	51	356
Aug 25, 2020	551	2	36	405
Aug 26, 2020	508	0	50	370
Aug 27, 2020	519	0	81	409
Aug 28, 2020	552	0	48	267
Aug 29, 2020	558	0	40	163
Aug 30, 2020	552	0	40	563
Aug 31, 2020	560	0	62	380
Sep 01, 2020	575	0	45	443
Sep 02, 2020	570	1	26	394
Sep 03, 2020	640	0	48	482
Sep 04, 2020	679	0	66	210
Sep 05, 2020	628	0	73	221
Sep 06, 2020	618	0	48	102
Sep 07, 2020	608	0	62	1106
Sep 08, 2020	573	0	29	706
Sep 09, 2020	628	0	36	719
Sep 10, 2020	666	0	38	684
Sep 11, 2020	643	0	15	401
Sep 12, 2020	667	0	19	356
Sep 13, 2020	646	1	26	793
Sep 14, 2020	578	1	5	616
Sep 15, 2020	576	0	30	609
Sep 16, 2020	636	2	22	660
Sep 17, 2020	594	0	17	614
Sep 18, 2020	644	0	18	464
Sep 19, 2020	658	1	27	504
Sep 20, 2020	564	0	56	843
Sep 21, 2020	563	0	52	1370
Sep 22, 2020	599	0	50	884
Sep 23, 2020	570	0	38	919
Sep 24, 2020	579	0	47	866
Sep 25, 2020	574	0	63	755
Sep 26, 2020	560	0	53	770
Sep 27, 2020	584	0	58	1509
Sep 28, 2020	574	0	55	1130
Sep 29, 2020	543	0	32	1234
Sep 30, 2020	582	1	29	1379
Oct 01, 2020	626	0	83	1264
Oct 02, 2020	674	0	49	1253
Oct 03, 2020	540	0	39	1376
Oct 04, 2020	542	1	35	2091
Oct 05, 2020	490	0	86	1660
Oct 06, 2020	482	0	48	1672
Oct 07, 2020	454	0	35	1842
Oct 08, 2020	423	0	65	2016
Oct 09, 2020	422	0	109	1833
Oct 10, 2020	385	1	40	1862
Oct 11, 2020	315	0	44	1039
Oct 12, 2020	303	0	39	3228
Oct 13, 2020	292	0	30	1865
Oct 14, 2020	259	0	52	2139
Oct 15, 2020	261	0	43	2154
Oct 16, 2020	292	0	37	1802
Oct 17, 2020	292	0	58	1666
Oct 18, 2020	327	0	54	2559
Oct 19, 2020	351	1	27	2072
Oct 20, 2020	372	0	22	1771
Oct 21, 2020	427	0	49	2291
Oct 22, 2020	422	1	28	2074
Oct 23, 2020	452	0	37	1757
Oct 24, 2020	479	0	21	1793
Oct 25, 2020	440	0	38	2877
Oct 26, 2020	438	0	35	2158
Oct 27, 2020	499	1	48	2403
Oct 28, 2020	492	1	33	2342
Oct 29, 2020	506	1	71	2728
Oct 30, 2020	495	0	76	1939
Oct 31, 2020	514	0	49	1853
Nov 01, 2020	518	0	35	2323
Nov 02, 2020	523	0	63	3457
Nov 03, 2020	532	0	60	2138
Nov 04, 2020	621	0	51	2351
Nov 05, 2020	553	0	97	3239
Nov 06, 2020	556	0	75	1857
Nov 07, 2020	555	0	75	1911
Nov 08, 2020	487	0	79	3395
Nov 09, 2020	498	1	104	2879
Nov 10, 2020	513	0	68	1920
Nov 11, 2020	468	0	124	3576
Nov 12, 2020	432	0	76	3871
Nov 13, 2020	445	0	124	2269
Nov 14, 2020	422	0	75	2486
Nov 15, 2020	399	0	86	4886
Nov 16, 2020	430	0	87	3865
Nov 17, 2020	423	0	69	4169
Nov 18, 2020	401	0	69	3973
Nov 19, 2020	393	2	96	4352
Nov 20, 2020	365	0	83	3752
Nov 21, 2020	359	0	100	3651
Nov 22, 2020	380	1	122	5150
Nov 23, 2020	391	1	131	4192
Nov 24, 2020	389	1	103	3841
Nov 25, 2020	423	1	115	3691
Nov 26, 2020	445	0	142	5581
Nov 27, 2020	452	2	116	4196
Nov 28, 2020	486	1	217	3711
Nov 29, 2020	513	0	183	5561
Nov 30, 2020	518	0	138	4916
Dec 01, 2020	587	1	167	4998
Dec 02, 2020	606	0	229	4722
Dec 03, 2020	625	0	167	5488
Dec 04, 2020	616	1	86	4786
Dec 05, 2020	669	0	176	4256
Dec 06, 2020	683	0	193	9597
Dec 07, 2020	773	0	169	5465
Dec 08, 2020	799	3	199	5811
Dec 09, 2020	833	2	316	5724
Dec 10, 2020	833	2	224	6558
Dec 11, 2020	841	3	201	6181
Dec 12, 2020	846	2	314	4779
Dec 13, 2020	852	2	344	6214
Dec 14, 2020	871	4	365	6508
Dec 15, 2020	859	4	388	5971
Dec 16, 2020	876	3	431	6466
Dec 17, 2020	864	2	487	7199
Dec 18, 2020	844	5	550	5785
Dec 19, 2020	911	4	505	5312
Dec 20, 2020	950	4	547	6913
Dec 21, 2020	979	3	405	7940
Dec 22, 2020	1026	3	650	6891
Dec 23, 2020	1054	3	292	5611
Dec 24, 2020	1200	3	330	2
Dec 25, 2020	1257	4	349	4157
Dec 26, 2020	1298	4	408	8971
Dec 27, 2020	1358	2	530	8780
Dec 28, 2020	1494	3	567	12184
Dec 29, 2020	1583	1	634	6426
Dec 30, 2020	1539	2	567	5230
Dec 31, 2020	1592	2	786	6
Jan 01, 2021	1565	2	825	5258
Jan 02, 2021	1585	5	666	9899
Jan 03, 2021	1601	4	659	14030
Jan 04, 2021	1756	4	910	4558
Jan 05, 2021	1781	5	1012	7663
Jan 06, 2021	1769	2	906	7040
Jan 07, 2021	1941	4	1044	7704
Jan 08, 2021	2144	5	893	6417
Jan 09, 2021	2358	4	816	6384
Jan 10, 2021	2562	4	845	9801
Jan 11, 2021	2832	4	821	7874
Jan 12, 2021	3087	5	820	8205
Jan 13, 2021	3408	3	653	8746
Jan 14, 2021	3690	5	580	8513
Jan 15, 2021	3992	3	858	6174
Jan 16, 2021	4155	5	850	7239
Jan 17, 2021	4438	5	823	7709
Jan 18, 2021	4473	4	888	7397
Jan 19, 2021	4384	5	806	8190
Jan 20, 2021	4451	4	715	7109
Jan 21, 2021	4592	4	937	7100
Jan 22, 2021	4561	4	824	6155
Jan 23, 2021	4555	4	923	5637
Jan 24, 2021	4680	2	859	6705
Jan 25, 2021	4597	4	937	6742
Jan 26, 2021	4711	4	1039	5883
Jan 27, 2021	4910	2	838	5468
Jan 28, 2021	4847	4	836	6260
Jan 29, 2021	4941	5	699	5241
Jan 30, 2021	5151	3	670	4739
Jan 31, 2021	5609	5	875	6049
Feb 01, 2021	5520	3	720	4938
Feb 02, 2021	5497	4	618	4429
Feb 03, 2021	5615	2	811	4432
Feb 04, 2021	5652	2	997	5223
Feb 05, 2021	5597	5	914	3914
Feb 06, 2021	5739	4	807	4122
Feb 07, 2021	5854	4	777	8344
Feb 08, 2021	5650	1	750	3599
Feb 09, 2021	5127	4	858	4027
Feb 10, 2021	4999	3	873	3592
Feb 11, 2021	4824	3	1041	3872
Feb 12, 2021	4804	4	772	3269
Feb 13, 2021	4713	4	778	3039
Feb 14, 2021	4856	3	762	1421
Feb 15, 2021	4959	5	639	6279
Feb 16, 2021	4951	2	914	3553
Feb 17, 2021	5164	3	734	3651
Feb 18, 2021	5154	4	792	3357
Feb 19, 2021	5054	4	727	3072
Feb 20, 2021	5003	3	689	2762
Feb 21, 2021	5102	5	735	4027
Feb 22, 2021	5024	1	813	3200
Feb 23, 2021	4914	1	796	3096
Feb 24, 2021	4685	2	718	3091
Feb 25, 2021	4445	4	774	3022
Feb 26, 2021	4392	3	736	2333
Feb 27, 2021	4277	1	816	2406
Feb 28, 2021	4215	4	832	3808
Mar 01, 2021	4160	2	950	2864
Mar 02, 2021	4333	5	919	3074
Mar 03, 2021	4542	0	701	2813
Mar 04, 2021	4631	4	1008	3086
Mar 05, 2021	4607	2	1051	2473
Mar 06, 2021	4602	1	1013	2171
Mar 07, 2021	4566	5	1077	4023
Mar 08, 2021	4507	5	1029	2945
Mar 09, 2021	4662	6	1162	2927
Mar 10, 2021	4572	8	1066	2752
Mar 11, 2021	4712	9	1030	3334
Mar 12, 2021	4702	11	961	2495
Mar 13, 2021	4431	4	914	2477
Mar 14, 2021	4347	9	1017	3902
Mar 15, 2021	4283	12	1040	2910
Mar 16, 2021	4012	13	959	3253
Mar 17, 2021	3795	6	854	5893
Mar 18, 2021	3652	7	1060	70
Mar 19, 2021	3631	9	959	2542
Mar 20, 2021	3508	12	1004	2510
Mar 21, 2021	3504	10	1040	4059
Mar 22, 2021	3440	12	1026	3116
Mar 23, 2021	3417	10	1037	3237
Mar 24, 2021	3404	6	1060	3338
Mar 25, 2021	3390	7	1183	3619
Mar 26, 2021	3374	10	1006	2737
Mar 27, 2021	3473	18	1207	2728
Mar 28, 2021	3589	12	1241	4673
Mar 29, 2021	3583	10	1110	3670
Mar 30, 2021	3923	10	1185	4016
Mar 31, 2021	4225	11	938	4055
Apr 01, 2021	4358	11	1083	1074
Apr 02, 2021	4573	8	988	5037
Apr 03, 2021	4862	7	1149	1065
Apr 04, 2021	4862	12	1046	10058
Apr 05, 2021	5047	9	915	4874
Apr 06, 2021	5329	10	1071	5276
Apr 07, 2021	5276	9	932	5789
Apr 08, 2021	5119	14	1019	5496
Apr 09, 2021	5168	13	1010	4616
Apr 10, 2021	5161	10	1060	4763
Apr 11, 2021	5267	7	1162	9129
Apr 12, 2021	5018	11	1036	4352
Apr 13, 2021	4882	8	1069	6629
Apr 14, 2021	4803	10	1116	6568
Apr 15, 2021	4796	12	1071	7128
Apr 16, 2021	4806	8	1207	6351
Apr 17, 2021	4901	6	1186	6397
Apr 18, 2021	4951	9	1277	9829
Apr 19, 2021	4967	14	1383	7679
Apr 20, 2021	5149	14	1233	10440
Apr 21, 2021	5179	13	1057	7346
Apr 22, 2021	5358	11	1244	9104
Apr 23, 2021	5679	11	1339	7358
Apr 24, 2021	5789	9	1252	7086
Apr 25, 2021	5817	12	1197	9923
Apr 26, 2021	5522	10	1289	7896
Apr 27, 2021	5458	7	1221	8655
Apr 28, 2021	5362	8	1155	8196
Apr 29, 2021	5399	7	1291	8425
Apr 30, 2021	5460	12	1129	7392
May 01, 2021	5493	8	1102	6859
May 02, 2021	5690	7	1169	9218
May 03, 2021	5694	11	1188	7498
May 04, 2021	5632	9	1079	8353
May 05, 2021	5648	13	1100	8299
May 06, 2021	5604	8	1057	7916
May 07, 2021	5687	12	1191	6929
May 08, 2021	5742	12	1053	6900
May 09, 2021	5886	8	1129	8427
May 10, 2021	6044	10	1135	7141
May 11, 2021	6088	12	1087	7509
May 12, 2021	6146	11	1185	7786
May 13, 2021	6290	8	1156	7996
May 14, 2021	6509	12	1161	6760
May 15, 2021	6920	5	1158	6417
May 16, 2021	6990	9	1288	8213
May 17, 2021	6948	16	1372	6882
May 18, 2021	6768	11	1470	7332
May 19, 2021	6978	11	1349	6652
May 20, 2021	6912	10	1537	6623
May 21, 2021	6930	13	1403	5675
May 22, 2021	6949	16	1418	5491
May 23, 2021	6940	10	1481	4326
May 24, 2021	6859	12	1472	7843
May 25, 2021	6984	10	1436	5636
May 26, 2021	6842	12	1561	5598
May 27, 2021	6611	17	1489	5374
May 28, 2021	6505	14	2055	4516
