Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	0	0	0
Feb 17, 2020	0	1	1	0
Feb 18, 2020	0	1	3	0
Feb 19, 2020	0	0	1	0
Feb 20, 2020	0	0	0	0
Feb 21, 2020	0	0	1	0
Feb 22, 2020	0	0	1	0
Feb 23, 2020	0	0	0	0
Feb 24, 2020	0	0	1	0
Feb 25, 2020	0	0	2	0
Feb 26, 2020	0	0	2	0
Feb 27, 2020	0	0	5	0
Feb 28, 2020	0	0	4	0
Feb 29, 2020	0	0	0	0
Mar 01, 2020	0	2	0	0
Mar 02, 2020	0	0	5	0
Mar 03, 2020	0	0	11	0
Mar 04, 2020	0	0	4	0
Mar 05, 2020	0	1	12	0
Mar 06, 2020	0	0	4	0
Mar 07, 2020	0	0	3	0
Mar 08, 2020	0	0	5	0
Mar 09, 2020	0	1	1	0
Mar 10, 2020	0	1	4	0
Mar 11, 2020	0	0	9	0
Mar 12, 2020	0	0	16	0
Mar 13, 2020	4	0	4	0
Mar 14, 2020	6	0	9	0
Mar 15, 2020	6	0	10	0
Mar 16, 2020	29	0	2	0
Mar 17, 2020	50	1	4	0
Mar 18, 2020	79	0	5	0
Mar 19, 2020	79	0	5	6
Mar 20, 2020	110	0	4	2
Mar 21, 2020	110	0	1	0
Mar 22, 2020	158	0	14	3
Mar 23, 2020	162	0	13	6
Mar 24, 2020	189	0	2	5
Mar 25, 2020	217	0	14	0
Mar 26, 2020	238	1	27	21
Mar 27, 2020	238	0	3	18
Mar 28, 2020	303	0	4	14
Mar 29, 2020	303	0	2	81
Mar 30, 2020	294	0	0	0
Mar 31, 2020	296	0	5	78
Apr 01, 2020	286	0	0	101
Apr 02, 2020	284	0	8	92
Apr 03, 2020	296	0	3	101
Apr 04, 2020	302	0	5	90
Apr 05, 2020	296	0	0	110
Apr 06, 2020	286	0	2	170
Apr 07, 2020	267	1	10	217
Apr 08, 2020	257	0	11	159
Apr 09, 2020	257	0	18	297
Apr 10, 2020	260	0	72	293
Apr 11, 2020	273	0	40	195
Apr 12, 2020	274	0	28	308
Apr 13, 2020	227	0	38	279
Apr 14, 2020	224	0	10	291
Apr 15, 2020	212	0	24	362
Apr 16, 2020	207	0	109	322
Apr 17, 2020	207	0	136	414
Apr 18, 2020	210	0	26	303
Apr 19, 2020	209	0	12	338
Apr 20, 2020	212	0	14	293
Apr 21, 2020	207	0	3	417
Apr 22, 2020	200	0	15	418
Apr 23, 2020	200	0	5	523
Apr 24, 2020	182	0	21	419
Apr 25, 2020	182	0	9	278
Apr 26, 2020	212	0	2	303
Apr 27, 2020	216	0	44	383
Apr 28, 2020	219	0	4	347
Apr 29, 2020	216	0	3	523
Apr 30, 2020	209	0	2	438
May 01, 2020	196	0	13	554
May 02, 2020	195	0	13	469
May 03, 2020	196	0	3	374
May 04, 2020	193	0	13	295
May 05, 2020	185	0	8	479
May 06, 2020	170	0	17	475
May 07, 2020	175	0	18	496
May 08, 2020	170	0	51	507
May 09, 2020	171	0	24	445
May 10, 2020	171	1	10	493
May 11, 2020	169	0	19	520
May 12, 2020	166	1	62	740
May 13, 2020	155	0	17	790
May 14, 2020	158	0	1	959
May 15, 2020	160	0	3	1400
May 16, 2020	156	0	49	1199
May 17, 2020	150	0	11	952
May 18, 2020	148	0	45	1342
May 19, 2020	139	0	16	997
May 20, 2020	138	0	30	1488
May 21, 2020	135	0	26	1350
May 22, 2020	130	2	8	1204
May 23, 2020	126	0	30	1602
May 24, 2020	129	1	8	1154
May 25, 2020	136	1	8	1613
May 26, 2020	129	2	5	2625
May 27, 2020	131	0	24	2610
May 28, 2020	135	0	6	2448
May 29, 2020	114	1	28	1833
May 30, 2020	117	0	18	2296
May 31, 2020	116	0	14	2219
Jun 01, 2020	113	0	32	0
Jun 02, 2020	112	0	115	41227
Jun 03, 2020	107	0	44	4575
Jun 04, 2020	100	0	154	4883
Jun 05, 2020	90	1	250	0
Jun 06, 2020	96	1	200	0
Jun 07, 2020	92	3	69	0
Jun 08, 2020	84	0	32	0
Jun 09, 2020	69	0	42	0
Jun 10, 2020	66	2	47	30813
Jun 11, 2020	52	1	50	4914
Jun 12, 2020	44	1	39	5938
Jun 13, 2020	40	2	45	6408
Jun 14, 2020	37	2	31	5088
Jun 15, 2020	33	2	50	7440
Jun 16, 2020	24	1	56	0
Jun 17, 2020	15	0	91	30209
