Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	1	1	0
Feb 17, 2020	0	1	1	0
Feb 18, 2020	0	2	4	0
Feb 19, 2020	0	0	0	0
Feb 20, 2020	0	0	6	0
Feb 21, 2020	0	4	3	0
Feb 22, 2020	0	0	8	0
Feb 23, 2020	0	2	14	0
Feb 24, 2020	0	1	23	0
Feb 25, 2020	0	1	3	0
Feb 26, 2020	0	5	21	0
Feb 27, 2020	0	0	31	0
Feb 28, 2020	0	6	34	0
Feb 29, 2020	0	1	52	0
Mar 01, 2020	0	0	38	0
Mar 02, 2020	0	2	34	0
Mar 03, 2020	0	0	129	0
Mar 04, 2020	0	7	153	0
Mar 05, 2020	1	14	156	0
Mar 06, 2020	1	2	219	0
Mar 07, 2020	2	2	244	0
Mar 08, 2020	3	2	17	0
Mar 09, 2020	7	4	94	0
Mar 10, 2020	7	0	46	0
Mar 11, 2020	13	7	27	0
Mar 12, 2020	16	10	27	0
Mar 13, 2020	24	4	82	0
Mar 14, 2020	38	7	43	0
Mar 15, 2020	61	1	80	0
Mar 16, 2020	64	3	70	0
Mar 17, 2020	85	3	31	0
Mar 18, 2020	116	10	63	0
Mar 19, 2020	150	0	97	6
Mar 20, 2020	202	13	90	2
Mar 21, 2020	238	7	69	0
Mar 22, 2020	272	8	25	3
Mar 23, 2020	399	7	146	6
Mar 24, 2020	552	10	100	5
Mar 25, 2020	700	5	144	0
Mar 26, 2020	919	8	92	21
Mar 27, 2020	1143	17	100	18
Mar 28, 2020	1160	8	179	14
Mar 29, 2020	1253	8	253	81
Mar 30, 2020	1298	12	125	0
Mar 31, 2020	1323	0	143	78
Apr 01, 2020	1331	13	166	101
Apr 02, 2020	1413	19	171	92
Apr 03, 2020	1407	9	320	101
Apr 04, 2020	1487	14	269	90
Apr 05, 2020	1555	3	142	110
Apr 06, 2020	1585	22	186	170
Apr 07, 2020	1647	27	248	217
Apr 08, 2020	1739	28	204	159
Apr 09, 2020	1829	31	356	297
Apr 10, 2020	1575	29	299	293
Apr 11, 2020	1599	10	306	195
Apr 12, 2020	1745	22	387	308
Apr 13, 2020	1843	53	450	279
Apr 14, 2020	1987	44	440	291
Apr 15, 2020	2072	29	354	362
Apr 16, 2020	1662	26	237	322
Apr 17, 2020	1839	35	427	414
Apr 18, 2020	2090	33	667	303
Apr 19, 2020	2213	41	528	338
Apr 20, 2020	2199	22	599	293
Apr 21, 2020	2365	51	641	417
Apr 22, 2020	2529	38	702	418
Apr 23, 2020	2418	57	728	523
Apr 24, 2020	2683	61	669	419
Apr 25, 2020	2818	45	790	278
Apr 26, 2020	3003	47	836	303
Apr 27, 2020	3248	84	1167	383
Apr 28, 2020	2845	84	924	347
Apr 29, 2020	3191	49	772	523
Apr 30, 2020	3490	76	808	438
May 01, 2020	3472	71	1141	554
May 02, 2020	3684	70	994	469
May 03, 2020	4126	58	1225	374
May 04, 2020	4361	91	1247	295
May 05, 2020	4705	58	1038	479
May 06, 2020	4528	50	653	475
May 07, 2020	4947	64	1683	496
May 08, 2020	5597	97	1475	507
May 09, 2020	5282	47	1848	445
May 10, 2020	5682	54	1737	493
May 11, 2020	6126	62	1726	520
May 12, 2020	6828	114	1684	740
May 13, 2020	7153	106	1464	790
May 14, 2020	6866	90	1723	959
May 15, 2020	7238	49	3287	1400
May 16, 2020	7663	75	2658	1199
May 17, 2020	8296	44	2554	952
May 18, 2020	8904	75	2326	1342
May 19, 2020	8983	132	2610	997
May 20, 2020	8767	95	2125	1488
May 21, 2020	9877	98	2445	1350
May 22, 2020	9681	111	3166	1204
May 23, 2020	10896	76	3379	1602
May 24, 2020	11119	178	3832	1154
May 25, 2020	11282	114	4328	1613
May 26, 2020	11062	197	3516	2625
May 27, 2020	12002	103	2818	2610
May 28, 2020	12526	122	4103	2448
May 29, 2020	13612	144	3499	1833
May 30, 2020	14287	114	3848	2296
May 31, 2020	15275	111	4996	2219
Jun 01, 2020	16452	96	4649	0
Jun 02, 2020	16837	179	4314	41227
Jun 03, 2020	17145	110	4545	4575
Jun 04, 2020	18736	222	5722	4883
Jun 05, 2020	19545	139	6619	0
Jun 06, 2020	20877	148	6253	0
Jun 07, 2020	23049	88	7254	0
Jun 08, 2020	23830	144	6372	0
Jun 09, 2020	22946	200	6167	0
Jun 10, 2020	22828	587	6987	30813
Jun 11, 2020	24160	157	8173	4914
Jun 12, 2020	25703	257	8781	5938
Jun 13, 2020	27610	321	9118	6408
Jun 14, 2020	30189	117	10919	5088
Jun 15, 2020	32270	306	8826	7440
Jun 16, 2020	32821	195	9025	0
Jun 17, 2020	34592	246	10195	30209
Jun 18, 2020	37434	324	8863	5050
Jun 19, 2020	38262	198	13757	5118
Jun 20, 2020	40695	152	12423	3960
Jun 21, 2020	44000	219	13579	4828
Jun 22, 2020	46405	178	12131	5173
Jun 23, 2020	49225	354	11624	4523
Jun 24, 2020	53001	425	10559	4234
Jun 25, 2020	56411	314	12834	4104
Jun 26, 2020	58453	313	13252	4624
Jun 27, 2020	62631	309	13454	4155
Jun 28, 2020	67117	203	13365	3944
Jun 29, 2020	71510	219	13530	5075
Jun 30, 2020	75418	134	9356	4214
